Origin,Destination,Distance,Distance2
"Golden
State
Warriors",New York (Manhattan),2907.92,NA
"Houston
Rockets",New York (Manhattan),1629.86,NA
"Indiana
Pacers",New York (Manhattan),712,NA
"Los
Angeles
Lakers/Clippers",New York (Manhattan),2793.63,NA
"Memphis
Grizzlies",New York (Manhattan),1098.87,NA
"Miami
Heat",New York (Manhattan),1278.77,NA
"Milwaukee
Bucks",New York (Manhattan),882.1,NA
"Minnesota
Timberwolves",New York (Manhattan),1199.11,NA
"New
Orleans
Pelicans",New York (Manhattan),1307.87,NA
"New
York
Knicks",New York (Manhattan),0,NA
"Oklahoma
City
Thunder",New York (Manhattan),1452.78,1452.78
"Orlando
Magic",New York (Manhattan),1075.16,1075.16
"Philadelphia
76ers",New York (Manhattan),95.76,95.76
"Phoenix
Suns",New York (Manhattan),2409.97,2409.97
"Portland
Trailblazers",New York (Manhattan),2899.53,2899.53
"Sacramento
Kings",New York (Manhattan),2824.06,2824.06
"San
Antonio
Spurs",New York (Manhattan),1820.17,1820.17
"Toronto
Raptors",New York (Manhattan),471.67,471.67
"Utah
Jazz",New York (Manhattan),2174.95,2174.95
"Washington
Wizards",New York (Manhattan),228.65,228.65
"Atlanta
Hawks",Oklahoma City,848.94,NA
"Boston
Celtics",Oklahoma City,1689.49,NA
"Brooklyn
Nets",Oklahoma City,1467.56,NA
"Charlotte
Hornets",Oklahoma City,1084.84,NA
"Chicago
Bulls",Oklahoma City,796.77,NA
"Cleveland
Cavaliers",Oklahoma City,1055.06,NA
"Dallas
Mavericks",Oklahoma City,204.26,NA
"Denver
Nuggets",Oklahoma City,677.57,NA
"Detroit
Pistons",Oklahoma City,1047.1,NA
"Golden
State
Warriors",Oklahoma City,1610.62,NA
"Houston
Rockets",Oklahoma City,445.58,NA
"Indiana
Pacers",Oklahoma City,747.37,NA
"Los
Angeles
Lakers/Clippers",Oklahoma City,1330.49,NA
"Memphis
Grizzlies",Oklahoma City,467.91,NA
"Miami
Heat",Oklahoma City,1509.2,NA
"Milwaukee
Bucks",Oklahoma City,870.22,NA
"Minnesota
Timberwolves",Oklahoma City,789.32,NA
"New
Orleans
Pelicans",Oklahoma City,707.25,NA
"New
York
Knicks",Oklahoma City,1451.06,NA
"Oklahoma
City
Thunder",Oklahoma City,0,NA
"Orlando
Magic",Oklahoma City,1285.54,1285.54
"Philadelphia
76ers",Oklahoma City,1383.32,1383.32
"Phoenix
Suns",Oklahoma City,958.64,958.64
"Portland
Trailblazers",Oklahoma City,1912.21,1912.21
"Sacramento
Kings",Oklahoma City,1621.98,1621.98
"San
Antonio
Spurs",Oklahoma City,463.12,463.12
"Toronto
Raptors",Oklahoma City,1284.51,1284.51
"Utah
Jazz",Oklahoma City,1187.64,1187.64
"Washington
Wizards",Oklahoma City,1342.69,1342.69
"Atlanta
Hawks",Orlando,438.74,NA
"Boston
Celtics",Orlando,1294.98,NA
"Brooklyn
Nets",Orlando,1081.16,NA
"Charlotte
Hornets",Orlando,524.78,NA
"Chicago
Bulls",Orlando,1156.67,NA
"Cleveland
Cavaliers",Orlando,1036.77,NA
"Dallas
Mavericks",Orlando,1089.68,NA
"Denver
Nuggets",Orlando,1837.89,NA
"Detroit
Pistons",Orlando,1168.79,NA
"Golden
State
Warriors",Orlando,2873.41,NA
"Houston
Rockets",Orlando,962.06,NA
"Indiana
Pacers",Orlando,970.33,NA
"Los
Angeles
Lakers/Clippers",Orlando,2510.01,NA
"Memphis
Grizzlies",Orlando,819.81,NA
"Miami
Heat",Orlando,233.63,NA
"Milwaukee
Bucks",Orlando,1249.73,NA
"Minnesota
Timberwolves",Orlando,1564.97,NA
"New
Orleans
Pelicans",Orlando,640.18,NA
"New
York
Knicks",Orlando,1082.35,NA
"Oklahoma
City
Thunder",Orlando,1284.73,NA
"Orlando
Magic",Orlando,0,NA
"Philadelphia
76ers",Orlando,993.62,993.62
"Phoenix
Suns",Orlando,2136.44,2136.44
"Portland
Trailblazers",Orlando,3033.63,3033.63
"Sacramento
Kings",Orlando,2891.5,2891.5
"San
Antonio
Spurs",Orlando,1152.37,1152.37
"Toronto
Raptors",Orlando,1280.09,1280.09
"Utah
Jazz",Orlando,2309.06,2309.06
"Washington
Wizards",Orlando,846.67,846.67
"Atlanta
Hawks",Philadelphia,775.82,NA
"Boston
Celtics",Philadelphia,309.3,NA
"Brooklyn
Nets",Philadelphia,98.12,NA
"Charlotte
Hornets",Philadelphia,539.37,NA
"Chicago
Bulls",Philadelphia,760.49,NA
"Cleveland
Cavaliers",Philadelphia,431.24,NA
"Dallas
Mavericks",Philadelphia,1506.04,NA
"Denver
Nuggets",Philadelphia,1726.68,NA
"Detroit
Pistons",Philadelphia,592.81,NA
"Golden
State
Warriors",Philadelphia,2875.7,NA
"Houston
Rockets",Philadelphia,1545.98,NA
"Indiana
Pacers",Philadelphia,643.6,NA
"Los
Angeles
Lakers/Clippers",Philadelphia,2712.61,NA
"Memphis
Grizzlies",Philadelphia,1014.99,NA
"Miami
Heat",Philadelphia,1189.98,NA
"Milwaukee
Bucks",Philadelphia,849.89,NA
"Minnesota
Timberwolves",Philadelphia,1172.13,NA
"New
Orleans
Pelicans",Philadelphia,1223.99,NA
"New
York
Knicks",Philadelphia,96.67,NA
"Oklahoma
City
Thunder",Philadelphia,1384.39,NA
"Orlando
Magic",Philadelphia,986.37,NA
"Philadelphia
76ers",Philadelphia,0,NA
"Phoenix
Suns",Philadelphia,2341.5,2341.5
"Portland
Trailblazers",Philadelphia,2867.31,2867.31
"Sacramento
Kings",Philadelphia,2791.84,2791.84
"San
Antonio
Spurs",Philadelphia,1736.29,1736.29
"Toronto
Raptors",Philadelphia,472.8,472.8
"Utah
Jazz",Philadelphia,2142.74,2142.74
"Washington
Wizards",Philadelphia,139.83,139.83
"Atlanta
Hawks",Phoenix,1846,NA
"Boston
Celtics",Phoenix,2651.26,NA
"Brooklyn
Nets",Phoenix,2429.33,NA
"Charlotte
Hornets",Phoenix,2090.87,NA
"Chicago
Bulls",Phoenix,1754.12,NA
"Cleveland
Cavaliers",Phoenix,2013.85,NA
"Dallas
Mavericks",Phoenix,1064.18,NA
"Denver
Nuggets",Phoenix,863.56,NA
"Detroit
Pistons",Phoenix,2006.03,NA
"Golden
State
Warriors",Phoenix,736.92,NA
"Houston
Rockets",Phoenix,1175.3,NA
"Indiana
Pacers",Phoenix,1706.17,NA
"Los
Angeles
Lakers/Clippers",Phoenix,373.52,NA
"Memphis
Grizzlies",Phoenix,1425.94,NA
"Miami
Heat",Phoenix,2358.36,NA
"Milwaukee
Bucks",Phoenix,1829.15,NA
"Minnesota
Timberwolves",Phoenix,1645.74,NA
"New
Orleans
Pelicans",Phoenix,1519.52,NA
"New
York
Knicks",Phoenix,2410.02,NA
"Oklahoma
City
Thunder",Phoenix,959.81,NA
"Orlando
Magic",Phoenix,2134.7,NA
"Philadelphia
76ers",Phoenix,2345.09,NA
"Phoenix
Suns",Phoenix,0,NA
"Portland
Trailblazers",Phoenix,1334.76,1334.76
"Sacramento
Kings",Phoenix,755.02,755.02
"San
Antonio
Spurs",Phoenix,985.52,985.52
"Toronto
Raptors",Phoenix,2243.44,2243.44
"Utah
Jazz",Phoenix,659.75,659.75
"Washington
Wizards",Phoenix,2302.2,2302.2
"Atlanta
Hawks",Portland,2593.19,NA
"Boston
Celtics",Portland,3086.27,NA
"Brooklyn
Nets",Portland,2895.3,NA
"Charlotte
Hornets",Portland,2754.16,NA
"Chicago
Bulls",Portland,2116.25,NA
"Cleveland
Cavaliers",Portland,2446.78,NA
"Dallas
Mavericks",Portland,2032.72,NA
"Denver
Nuggets",Portland,1240.44,NA
"Detroit
Pistons",Portland,2383.48,NA
"Golden
State
Warriors",Portland,640.75,NA
"Houston
Rockets",Portland,2274.04,NA
"Indiana
Pacers",Portland,2262.52,NA
"Los
Angeles
Lakers/Clippers",Portland,965.74,NA
"Memphis
Grizzlies",Portland,2245.8,NA
"Miami
Heat",Portland,3255.05,NA
"Milwaukee
Bucks",Portland,2063.52,NA
"Minnesota
Timberwolves",Portland,1728.14,NA
"New
Orleans
Pelicans",Portland,2506.49,NA
"New
York
Knicks",Portland,2894.56,NA
"Oklahoma
City
Thunder",Portland,1909.5,NA
"Orlando
Magic",Portland,3031.39,NA
"Philadelphia
76ers",Portland,2862.24,NA
"Phoenix
Suns",Portland,1266.58,NA
"Portland
Trailblazers",Portland,0,NA
"Sacramento
Kings",Portland,580.39,580.39
"San
Antonio
Spurs",Portland,2074.64,2074.64
"Toronto
Raptors",Portland,2620.89,2620.89
"Utah
Jazz",Portland,763.61,763.61
"Washington
Wizards",Portland,2804.32,2804.32
"Atlanta
Hawks",Sacramento,2468.83,NA
"Boston
Celtics",Sacramento,3011.62,NA
"Brooklyn
Nets",Sacramento,2820.64,NA
"Charlotte
Hornets",Sacramento,2679.5,NA
"Chicago
Bulls",Sacramento,2041.6,NA
"Cleveland
Cavaliers",Sacramento,2372.12,NA
"Dallas
Mavericks",Sacramento,1725.39,NA
"Denver
Nuggets",Sacramento,1125.27,NA
"Detroit
Pistons",Sacramento,2308.82,NA
"Golden
State
Warriors",Sacramento,91.84,NA
"Houston
Rockets",Sacramento,1930,NA
"Indiana
Pacers",Sacramento,2187.86,NA
"Los
Angeles
Lakers/Clippers",Sacramento,391.58,NA
"Memphis
Grizzlies",Sacramento,2087.79,NA
"Miami
Heat",Sacramento,3113.06,NA
"Milwaukee
Bucks",Sacramento,2085.18,NA
"Minnesota
Timberwolves",Sacramento,1893.74,NA
"New
Orleans
Pelicans",Sacramento,2228.31,NA
"New
York
Knicks",Sacramento,2819.91,NA
"Oklahoma
City
Thunder",Sacramento,1621.66,NA
"Orlando
Magic",Sacramento,2889.4,NA
"Philadelphia
76ers",Sacramento,2787.59,NA
"Phoenix
Suns",Sacramento,755.3,NA
"Portland
Trailblazers",Sacramento,580.02,NA
"Sacramento
Kings",Sacramento,0,NA
"San
Antonio
Spurs",Sacramento,1740.22,1740.22
"Toronto
Raptors",Sacramento,2546.23,2546.23
"Utah
Jazz",Sacramento,652.12,652.12
"Washington
Wizards",Sacramento,2729.67,2729.67
"Atlanta
Hawks",San Antonio,983.64,NA
"Boston
Celtics",San Antonio,2037.81,NA
"Brooklyn
Nets",San Antonio,1824.24,NA
"Charlotte
Hornets",San Antonio,1226.39,NA
"Chicago
Bulls",San Antonio,1239.12,NA
"Cleveland
Cavaliers",San Antonio,1452.18,NA
"Dallas
Mavericks",San Antonio,271.27,NA
"Denver
Nuggets",San Antonio,936.22,NA
"Detroit
Pistons",San Antonio,1484.28,NA
"Golden
State
Warriors",San Antonio,1721.42,NA
"Houston
Rockets",San Antonio,192.91,NA
"Indiana
Pacers",San Antonio,1176.95,NA
"Los
Angeles
Lakers/Clippers",San Antonio,1358.02,NA
"Memphis
Grizzlies",San Antonio,723.98,NA
"Miami
Heat",San Antonio,1375.96,NA
"Milwaukee
Bucks",San Antonio,1326.98,NA
"Minnesota
Timberwolves",San Antonio,1248.81,NA
"New
Orleans
Pelicans",San Antonio,537.12,NA
"New
York
Knicks",San Antonio,1819.93,NA
"Oklahoma
City
Thunder",San Antonio,462.68,NA
"Orlando
Magic",San Antonio,1152.3,NA
"Philadelphia
76ers",San Antonio,1736.68,NA
"Phoenix
Suns",San Antonio,984.45,NA
"Portland
Trailblazers",San Antonio,2080.23,NA
"Sacramento
Kings",San Antonio,1739.51,NA
"San
Antonio
Spurs",San Antonio,0,NA
"Toronto
Raptors",San Antonio,1721.69,1721.69
"Utah
Jazz",San Antonio,1306.75,1306.75
"Washington
Wizards",San Antonio,1600.02,1600.02
"Atlanta
Hawks",Toronto,949.94,NA
"Boston
Celtics",Toronto,549.49,NA
"Brooklyn
Nets",Toronto,473.07,NA
"Charlotte
Hornets",Toronto,758.4,NA
"Chicago
Bulls",Toronto,520.89,NA
"Cleveland
Cavaliers",Toronto,291.34,NA
"Dallas
Mavericks",Toronto,1414.93,NA
"Denver
Nuggets",Toronto,1505.5,NA
"Detroit
Pistons",Toronto,234.71,NA
"Golden
State
Warriors",Toronto,2634.93,NA
"Houston
Rockets",Toronto,1539.52,NA
"Indiana
Pacers",Toronto,515.09,NA
"Los
Angeles
Lakers/Clippers",Toronto,2520.6,NA
"Memphis
Grizzlies",Toronto,971.59,NA
"Miami
Heat",Toronto,1483.49,NA
"Milwaukee
Bucks",Toronto,487.24,NA
"Minnesota
Timberwolves",Toronto,823.13,NA
"New
Orleans
Pelicans",Toronto,1294.67,NA
"New
York
Knicks",Toronto,472.34,NA
"Oklahoma
City
Thunder",Toronto,1285.52,NA
"Orlando
Magic",Toronto,1279.89,NA
"Philadelphia
76ers",Toronto,477.35,NA
"Phoenix
Suns",Toronto,2242.78,NA
"Portland
Trailblazers",Toronto,2626.54,NA
"Sacramento
Kings",Toronto,2551.07,NA
"San
Antonio
Spurs",Toronto,1684.06,NA
"Toronto
Raptors",Toronto,0,NA
"Utah
Jazz",Toronto,1901.96,1901.96
"Washington
Wizards",Toronto,482.73,482.73
"Atlanta
Hawks",Salt Lake City,1872.01,NA
"Boston
Celtics",Salt Lake City,2365.09,NA
"Brooklyn
Nets",Salt Lake City,2174.12,NA
"Charlotte
Hornets",Salt Lake City,2032.98,NA
"Chicago
Bulls",Salt Lake City,1395.08,NA
"Cleveland
Cavaliers",Salt Lake City,1725.6,NA
"Dallas
Mavericks",Salt Lake City,1240.65,NA
"Denver
Nuggets",Salt Lake City,519.27,NA
"Detroit
Pistons",Salt Lake City,1662.3,NA
"Golden
State
Warriors",Salt Lake City,740.19,NA
"Houston
Rockets",Salt Lake City,1481.98,NA
"Indiana
Pacers",Salt Lake City,1541.34,NA
"Los
Angeles
Lakers/Clippers",Salt Lake City,690.55,NA
"Memphis
Grizzlies",Salt Lake City,1524.62,NA
"Miami
Heat",Salt Lake City,2533.87,NA
"Milwaukee
Bucks",Salt Lake City,1437.61,NA
"Minnesota
Timberwolves",Salt Lake City,1247.22,NA
"New
Orleans
Pelicans",Salt Lake City,1743.57,NA
"New
York
Knicks",Salt Lake City,2173.39,NA
"Oklahoma
City
Thunder",Salt Lake City,1188.33,NA
"Orlando
Magic",Salt Lake City,2310.21,NA
"Philadelphia
76ers",Salt Lake City,2141.06,NA
"Phoenix
Suns",Salt Lake City,718.81,NA
"Portland
Trailblazers",Salt Lake City,767.35,NA
"Sacramento
Kings",Salt Lake City,651.72,NA
"San
Antonio
Spurs",Salt Lake City,1306.33,NA
"Toronto
Raptors",Salt Lake City,1899.71,NA
"Utah
Jazz",Salt Lake City,0,NA
"Washington
Wizards",Salt Lake City,2083.15,2083.15
"Atlanta
Hawks",Washington DC,636.35,NA
"Boston
Celtics",Washington DC,439.8,NA
"Brooklyn
Nets",Washington DC,225.99,NA
"Charlotte
Hornets",Washington DC,399.9,NA
"Chicago
Bulls",Washington DC,704.15,NA
"Cleveland
Cavaliers",Washington DC,374.96,NA
"Dallas
Mavericks",Washington DC,1329.51,NA
"Denver
Nuggets",Washington DC,1661.87,NA
"Detroit
Pistons",Washington DC,536.53,NA
"Golden
State
Warriors",Washington DC,2819.42,NA
"Houston
Rockets",Washington DC,1408.17,NA
"Indiana
Pacers",Washington DC,578.52,NA
"Los
Angeles
Lakers/Clippers",Washington DC,2670.41,NA
"Memphis
Grizzlies",Washington DC,877.18,NA
"Miami
Heat",Washington DC,1050.51,NA
"Milwaukee
Bucks",Washington DC,793.6,NA
"Minnesota
Timberwolves",Washington DC,1110.61,NA
"New
Orleans
Pelicans",Washington DC,1086.18,NA
"New
York
Knicks",Washington DC,227.17,NA
"Oklahoma
City
Thunder",Washington DC,1342.47,NA
"Orlando
Magic",Washington DC,846.9,NA
"Philadelphia
76ers",Washington DC,138.44,NA
"Phoenix
Suns",Washington DC,2299.73,NA
"Portland
Trailblazers",Washington DC,2811.03,NA
"Sacramento
Kings",Washington DC,2735.56,NA
"San
Antonio
Spurs",Washington DC,1598.48,NA
"Toronto
Raptors",Washington DC,483.89,NA
"Utah
Jazz",Washington DC,2086.45,NA
"Washington
Wizards",Washington DC,0,NA
